test,train
0.660949868,0.566943675
0.669129288,0.581717452
0.6823219,0.578331794
0.684168865,0.584795322
0.687862797,0.585410896
0.688918206,0.588796553
0.690501319,0.592489997
0.692216359,0.589719914
0.693271768,0.59526008
0.693667546,0.599569098
0.695646438,0.596183441
0.695778364,0.599261311
0.696174142,0.595567867
0.696437995,0.593721145
0.696701847,0.594644506
0.696701847,0.594028932
0.696965699,0.592489997
0.697361478,0.594644506
0.697493404,0.595567867
0.697493404,0.596183441
0.697493404,0.591874423
0.697361478,0.594644506
0.697493404,0.596183441
0.697229551,0.595875654
0.69762533,0.596799015
0.697361478,0.596491228
0.69762533,0.596799015
0.69762533,0.596491228
0.697757256,0.595875654
0.697757256,0.593721145
0.698153034,0.594952293
0.698021108,0.595567867
0.698153034,0.593105571
0.698021108,0.594952293
0.69828496,0.594952293
0.69828496,0.59218221
0.69828496,0.591874423
0.69828496,0.591874423
0.69828496,0.593413358
0.69828496,0.591258849
0.69828496,0.592489997
0.69828496,0.591874423
0.698416887,0.59218221
0.698548813,0.592489997
0.698416887,0.592797784
0.698548813,0.591566636
0.698548813,0.593721145
0.698548813,0.592489997
0.698548813,0.590027701
0.698548813,0.593105571
0.698548813,0.592797784
0.698548813,0.593413358
0.698548813,0.594336719
0.698548813,0.593721145
0.698416887,0.591566636
0.698416887,0.590643275
0.698548813,0.59218221
0.698548813,0.592489997
0.698548813,0.59218221
0.698548813,0.590951062
0.698548813,0.591566636
0.698548813,0.590951062
0.698548813,0.591874423
0.698548813,0.592489997
0.698548813,0.592797784
0.698416887,0.590951062
0.698548813,0.591566636
0.698548813,0.590951062
0.698548813,0.592797784
0.698548813,0.591874423
0.698548813,0.59218221
0.698548813,0.593721145
0.698548813,0.591566636
0.698548813,0.590027701
0.698548813,0.590951062
0.698548813,0.58910434
0.698548813,0.590643275
0.698548813,0.590643275
0.698548813,0.590643275
0.698548813,0.588796553
0.698548813,0.589412127
0.698548813,0.588796553
0.698548813,0.588488766
0.698548813,0.589719914
0.698548813,0.586949831
0.698548813,0.586334257
0.698548813,0.588180979
0.698548813,0.587565405
0.698548813,0.587873192
0.698548813,0.587873192
0.698548813,0.586949831
0.698548813,0.587257618
0.698548813,0.587565405
0.698548813,0.58910434
0.698548813,0.587873192
0.698548813,0.58602647
0.698548813,0.58910434
0.698548813,0.589719914
0.698548813,0.589412127
0.698548813,0.588180979
